"","Year","Hospital.Name","Hospital.County","Cesarean Births","Forceps Delivery","Total Births","Low/Outlet Forceps Delivery","Mid Forceps Delivery","Internal Fetal Monitoring","External Fetal Monitoring","Induction - Artificial Rupture of Membranes","Induction - Medicinal","Augmented Labor","Analgesia","Attended by Licensed Midwife","Vaginal Births","Vaginal Birth After Prior Cesarean","Total Births After Prior Cesarean","Breech Births Delivered Vaginally","Episiotomy","General Anesthesia (Vaginal)","Spinal Anesthesia (Vaginal)","Epidural Anesthesia","Local/Other Anesthesia","Paracervical Anesthesia","Pudendal Anesthesia","Primary Cesarean","Repeat Cesarean","General Anesthesia (Cesarean)","Spinal Anesthesia (Cesarean)","Epidural/Local Anesthesia","Fed Any Breast Milk","Fed Exclusively Breast Milk","Breast Fed Infants Supplemented w/Formula","X","ID","State","lon","lat"
"263","2009","Maimonides Medical Center","KINGS",1683,18,7741,NA,NA,724,5951,304,812,1340,NA,1290,5951,183,559,12,1390,8,592,3313,768,0,13,1307,376,63,977,606,5944,2638,3306,59,59," NY",-73.9986929,40.6396041
"264","2009","New York Methodist Hospital","KINGS",1612,5,5254,NA,NA,736,4827,519,282,902,NA,452,3616,8,126,9,376,7,150,1793,193,0,0,1494,118,38,870,601,4824,1566,3258,76,76," NY",-73.9791299,40.6678362
"265","2009","Wyckoff Heights Medical Center","KINGS",468,0,1675,NA,NA,420,1587,0,111,215,NA,0,1201,0,3,4,277,10,8,390,253,0,0,465,3,31,381,47,831,64,767,145,145," NY",-73.9174728,40.7042422
"266","2009","University Hospital of Brooklyn","KINGS",839,2,1761,NA,NA,340,1615,231,350,309,NA,0,871,10,229,3,126,3,51,435,102,0,1,620,219,53,505,168,1109,39,1070,136,136," NY",-73.9453265,40.6549969
"267","2009","New York Downtown Hospital","NEW YORK",517,7,2263,NA,NA,14,2105,58,296,146,NA,19,1568,37,157,1,383,23,18,549,216,0,1,401,116,16,335,123,1171,332,839,74,74," NY",-74.0072917,40.710394
"268","2009","Bellevue Hospital Center","NEW YORK",480,17,1940,NA,NA,251,1650,218,382,463,NA,720,1440,44,165,24,33,1,1,855,281,0,0,359,121,30,63,378,1737,416,1321,7,7," NY",-73.9762044,40.7396865
"269","2009","Harlem Hospital Center","NEW YORK",387,1,1194,NA,NA,18,1186,84,162,293,NA,62,798,36,207,4,86,128,2,352,74,0,0,216,171,51,217,118,877,544,333,43,43," NY",-73.9395087,40.8143104
"270","2009","Beth Israel Medical Center/Petrie Campus","NEW YORK",1028,4,3733,NA,NA,463,3048,264,353,1018,NA,387,2677,44,224,4,545,9,15,1931,398,0,0,848,180,45,552,405,3375,712,2663,9,9," NY",-73.9825649,40.7333501
"271","2009","Lenox Hill Hospital","NEW YORK",1452,15,3657,NA,NA,9,3594,1055,449,525,NA,0,2183,24,262,1,526,0,791,975,50,0,0,1214,238,12,1325,85,3493,3338,155,53,53," NY",-73.9609812,40.7739364
"272","2009","Metropolitan Hospital Center","NEW YORK",504,23,1608,NA,NA,469,1524,150,183,388,NA,502,1098,35,242,4,88,20,22,412,214,0,0,297,207,36,338,129,1061,38,1023,66,66," NY",-73.9443993,40.7848889
"273","2009","Mount Sinai Hospital","NEW YORK",2111,179,6212,NA,NA,220,6139,674,1306,1350,NA,413,4009,129,711,59,798,25,158,3265,285,0,9,1529,582,81,1312,712,4900,2338,2562,70,70," NY",-73.9524454,40.7899484
"274","2009","New York Presbyterian Hospital - New York Weill Cornell Center","NEW YORK",2218,90,5626,NA,NA,317,1439,261,328,348,NA,10,3378,22,158,9,1650,1,74,3257,21,0,1,2082,136,6,1892,315,4315,875,3440,79,79," NY",-73.9542869,40.7643076
"275","2009","NYU Hospitals Center","NEW YORK",1354,104,4582,NA,NA,214,4354,952,871,1441,NA,41,3204,170,601,13,477,3,3,2918,156,1,3,923,431,10,97,1245,4112,4057,55,88,88," NY",-73.9815497,40.7459158
"276","2009","New York Presbyterian Hospital - Columbia Presbyterian Center","NEW YORK",1771,33,4538,NA,NA,157,2518,527,760,663,NA,0,2446,42,488,13,184,7,68,1909,121,0,2,1325,446,78,1062,562,3427,1086,2341,78,78," NY",-73.9441736,40.8417607
"277","2009","St Lukes Roosevelt Hospital Center - Roosevelt Hospital Division","NEW YORK",1745,24,6320,NA,NA,801,4009,462,898,988,NA,494,4487,70,240,10,440,18,205,2674,578,0,0,1575,170,36,614,981,4916,4131,785,124,124," NY",-73.961459,40.8054014
"278","2009","Jamaica Hospital Medical Center","QUEENS",1022,1,2704,NA,NA,410,1156,27,376,415,NA,829,1660,26,357,2,167,2,18,494,334,0,1,691,331,107,692,215,2407,0,2407,48,48," NY",-73.8167613,40.7010611
"279","2009","SVCMC-St Vincents Manhattan","NEW YORK",471,6,1785,NA,NA,0,1764,32,15,7,NA,312,1313,16,78,4,247,0,7,1262,3,0,0,409,62,3,454,12,1349,956,393,131,131," NY",-74.0010379,40.7375843
"280","2009","Elmhurst Hospital Center","QUEENS",1082,16,3861,NA,NA,312,3140,375,440,561,NA,162,2758,50,471,8,99,14,22,1343,647,0,1,661,421,51,698,319,3286,60,3226,34,34," NY",-73.8860322,40.7446774
"281","2009","Flushing Hospital Medical Center","QUEENS",1246,1,2740,NA,NA,454,2715,2,412,601,NA,0,1480,34,513,0,699,3,300,664,319,0,1,767,479,37,983,224,1765,1263,502,37,37," NY",-73.8167251,40.7556511
"282","2009","Long Island Jewish Medical Center","QUEENS",2103,31,5115,NA,NA,6,5078,269,876,1248,NA,5,2981,63,853,4,641,2,16,2280,264,0,3,1313,790,90,1406,606,3551,1582,1969,57,57," NY",-73.7069314,40.7555112
"283","2009","Queens Hospital Center","QUEENS",689,6,2148,NA,NA,744,1991,907,277,368,NA,0,1443,41,311,2,93,1,5,698,380,0,0,419,270,30,474,183,1104,913,191,99,99," NY",-73.8045894,40.7169282
"284","2009","St. Johns Queens","QUEENS",60,0,137,NA,NA,0,137,0,0,0,NA,0,77,0,0,0,35,0,0,35,31,0,0,60,0,4,34,22,112,73,39,127,127," NY",-73.7942112,40.7220627
"285","2009","St Johns Episcopal Hospital So Shore","QUEENS",356,1,922,NA,NA,6,904,2,19,17,NA,21,564,9,100,1,63,2,3,220,71,0,0,265,91,14,284,55,691,151,540,121,121," NY",-73.7548578,40.5986319
"286","2009","New York Hospital Medical Center   of Queens","QUEENS",1439,26,4001,NA,NA,603,3834,814,696,774,NA,7,2532,50,571,3,754,6,60,1868,397,0,0,918,521,33,622,783,1811,140,1671,75,75," NY",-73.8254109,40.7454597
"287","2009","Forest Hills Hospital","QUEENS",699,4,2293,NA,NA,141,2150,213,221,507,NA,14,1575,22,180,4,349,7,7,1218,92,0,0,541,158,31,388,278,1995,53,1942,38,38," NY",-73.8448469,40.718106
"288","2009","Woodhull Medical & Mental Health Center","KINGS",496,3,1994,NA,NA,447,1718,145,367,357,NA,1362,1456,45,183,8,96,14,7,608,350,0,1,358,138,47,288,161,1368,544,824,144,144," NY",-73.9430003,40.6994152
"289","2009","Richmond University Medical Center","RICHMOND",1484,1,3192,NA,NA,35,1803,957,1806,599,NA,15,1703,13,656,4,700,2,30,1488,56,0,0,841,643,44,1019,419,1804,725,1079,101,101," NY",-74.1059933,40.6357678
"290","2009","Staten Island University Hosp-North","RICHMOND",641,0,2914,NA,NA,28,2802,14,449,350,NA,110,2259,95,380,13,345,6,29,1679,202,1,0,357,284,36,460,136,2322,1313,1009,128,128," NY",-74.1502007,40.5795317
"291","2009","Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div","BRONX",1560,1,4407,NA,NA,3,4395,1,179,0,NA,38,2840,95,670,4,74,2,152,1890,108,1,0,986,574,65,813,682,3443,1468,1975,68,68," NY",-73.8460728,40.8486869
"292","2009","Millard Fillmore Suburban Hospital","ERIE",935,24,2541,24,0,444,2530,12,793,835,303,8,1604,37,472,3,391,0,0,1364,138,0,0,500,435,33,633,267,1945,1896,49,67,67," NY",-78.7301975,42.993969
"293","2009","New York Presbyterian Hospital - Allen Pavilion","NEW YORK",722,4,2260,NA,NA,208,1444,153,288,343,NA,58,1528,22,170,1,93,18,33,932,234,0,0,574,148,35,396,284,2193,27,2166,77,77," NY",-73.9148792,40.8730577
"294","2010","Albany Medical Center Hospital","ALBANY",973,30,2174,25,5,305,2161,238,450,551,932,0,1201,42,439,12,146,1,44,881,49,0,9,576,397,63,688,217,1176,599,577,2,2," NY",-73.7771411,42.6536483
"295","2010","St Peters Hospital","ALBANY",848,7,2607,5,2,34,2561,1003,383,734,529,305,1756,47,383,4,24,16,21,1074,142,0,0,512,336,7,585,245,1858,1694,164,126,126," NY",-73.8038346,42.6559038
"296","2010","Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp","ALLEGANY",130,0,324,0,0,11,268,23,119,115,145,59,194,1,67,0,6,0,0,70,21,0,0,64,66,6,114,10,222,179,43,63,63," NY",-77.9505441,42.1224097
"297","2010","Columbia Memorial Hospital","COLUMBIA",175,0,519,0,0,2,506,4,96,144,193,21,343,2,75,0,27,1,99,0,36,0,0,102,73,3,170,0,266,219,47,23,23," NY",-73.7796082,42.2463701
"298","2010","Our Lady of Lourdes Memorial Hospital Inc","BROOME",396,7,1123,7,0,5,1116,195,215,166,625,98,727,1,161,2,192,2,4,236,178,0,0,236,160,11,304,81,867,771,96,94,94," NY",-75.9362283,42.0915013
"299","2010","United Health Services Hospitals Inc. - Wilson Medical Center","BROOME",594,2,1633,2,0,66,1601,197,548,253,872,182,1039,28,292,3,225,4,8,450,282,0,0,330,264,59,447,88,1077,988,89,133,133," NY",-75.9583893,42.1142391
"300","2010","Olean General Hospital","CATTARAUGUS",230,17,766,14,3,55,757,213,207,127,206,315,536,1,107,0,214,1,2,307,50,0,0,124,106,11,172,46,538,498,40,89,89," NY",-78.4277827,42.0902702
"301","2010","Auburn Memorial Hospital","CAYUGA",108,2,397,1,1,31,385,192,83,92,273,238,289,0,30,2,23,0,2,100,39,0,1,78,30,6,78,24,244,205,39,5,5," NY",-76.5660529,42.9317335
"302","2010","Brooks Memorial Hospital","CHAUTAUQUA",239,8,710,7,1,30,706,126,129,307,589,1,470,1,115,1,82,17,5,332,16,0,0,125,114,8,189,42,429,304,125,15,15," NY",-79.334641,42.4799884
"303","2010","Woman's Christian Association","CHAUTAUQUA",206,0,597,0,0,8,593,101,204,52,325,28,391,2,109,3,58,8,2,137,124,0,0,99,107,18,178,10,382,344,38,142,142," NY",-79.2336184,42.0915449
"304","2010","Arnot Ogden Medical Center","CHEMUNG",465,3,1441,3,0,340,1098,18,394,421,1376,523,976,26,226,3,44,2,18,687,100,0,0,265,200,34,369,61,891,810,81,4,4," NY",-76.8268806,42.1009135
"305","2010","Chenango Memorial Hospital Inc","CHENANGO",82,0,272,0,0,18,268,0,64,55,161,0,190,0,27,0,13,0,37,0,63,0,0,55,27,6,76,0,170,141,29,21,21," NY",-75.5278844,42.5411751
"306","2010","Champlain Valley Physicians Hospital Medical Center","CLINTON",316,8,976,7,1,290,894,278,244,221,344,298,660,12,151,1,65,13,6,367,68,26,2,177,139,27,214,68,756,657,99,20,20," NY",-73.470012,44.7014924
"307","2010","Cortland Regional Medical Center Inc","CORTLAND",144,0,468,0,0,30,466,17,108,66,218,74,324,0,71,1,34,2,8,139,33,0,0,73,71,12,117,15,309,274,35,28,28," NY",-76.187635,42.608842
"308","2010","Northern Dutchess Hospital","DUTCHESS",247,1,810,1,0,13,794,65,131,301,203,387,562,24,115,0,45,1,50,16,198,0,0,156,91,1,231,14,669,591,78,85,85," NY",-73.9128078,41.9356016
"309","2010","Vassar Brothers Medical Center","DUTCHESS",1044,0,2663,0,0,35,2661,47,522,506,1373,8,1619,56,500,1,464,5,6,204,30,0,17,600,444,45,734,225,1878,1332,546,137,137," NY",-73.935626,41.6933485
"310","2010","Sisters of Charity Hospital","ERIE",962,24,2918,24,0,323,2843,112,605,794,2403,22,1954,57,422,5,429,2,30,1469,233,0,0,597,365,44,616,298,1644,1336,308,109,109," NY",-78.848085,42.9284109
"311","2010","Women And Children's Hospital Of Buffalo","ERIE",1294,4,3195,4,0,461,2971,137,743,1011,499,206,1901,38,553,9,29,1,2,1278,146,0,0,779,515,180,751,362,1559,1273,286,143,143," NY",-78.8751475,42.9098851
"312","2010","Alice Hyde Medical Center","FRANKLIN",103,0,252,0,0,99,222,57,60,94,163,0,149,4,40,0,10,1,0,81,25,0,0,67,36,17,61,25,132,110,22,3,3," NY",-74.2999876,44.8554151
"313","2010","Adirondack Medical Center-Saranac Lake Site","FRANKLIN",71,1,181,1,0,19,177,34,34,36,92,60,110,0,24,1,17,0,8,0,51,0,0,47,24,3,68,0,134,116,18,1,1," NY",-74.1312867,44.3294896
"314","2010","Nathan Littauer Hospital","FULTON",155,0,420,0,0,15,418,5,103,122,211,113,265,0,61,0,44,2,1,110,46,0,0,94,61,4,146,5,229,206,23,73,73," NY",-74.3319185,43.0715875
"315","2010","United Memorial Medical Center North Street Campus","GENESEE",164,0,524,0,0,0,520,34,104,196,5,191,359,11,78,0,159,0,2,222,44,0,0,97,67,2,145,17,372,356,16,134,134," NY",-78.1787505,43.0054757
"316","2010","Samaritan Medical Center","JEFFERSON",344,5,1549,5,0,2,1528,3,367,415,1166,408,1205,34,214,4,65,0,10,778,83,0,0,164,180,22,257,65,1079,860,219,105,105," NY",-75.9144928,43.9648367
"317","2010","Carthage Area Hospital Inc","JEFFERSON",122,0,393,0,0,12,369,35,64,68,317,38,271,5,55,0,17,6,3,122,12,0,0,72,50,8,85,29,273,260,13,17,17," NY",-75.5940464,43.9871213
"318","2010","Lewis County General Hospital","LEWIS",109,0,295,0,0,61,280,29,69,67,204,2,183,2,51,0,74,2,103,0,32,0,0,60,49,4,105,0,186,177,9,54,54," NY",-75.4995852,43.7958179
"319","2010","Nicholas H Noyes Memorial Hospital","LIVINGSTON",89,0,264,0,0,20,231,2,69,52,186,0,175,0,34,0,28,1,2,68,51,0,0,55,34,6,61,21,175,149,26,82,82," NY",-77.699907,42.5528296
"320","2010","Oneida Healthcare Center","MADISON",153,1,534,1,0,35,518,289,148,136,179,0,381,0,65,0,169,0,4,94,166,0,0,88,65,13,132,8,353,305,48,90,90," NY",-75.6537588,43.0775315
"321","2010","Highland Hospital","MONROE",804,35,3073,34,1,426,2597,47,763,1340,2625,529,2268,81,422,7,139,5,17,1531,293,0,0,463,341,31,534,238,2470,2049,421,44,44," NY",-77.6061769,43.1356875
"322","2010","Lakeside Memorial Hospital","MONROE",72,1,224,1,0,24,175,5,46,89,154,55,152,2,35,1,17,0,1,60,28,0,0,39,33,3,61,8,159,136,23,51,51," NY",-78.1916212,43.2385621
"323","2010","Rochester General Hospital","MONROE",821,3,2477,1,2,195,1858,24,566,450,1976,321,1655,13,355,7,156,2,5,1122,94,0,0,479,342,42,677,95,1854,1550,304,102,102," NY",-77.5878398,43.1924948
"324","2010","Strong Memorial Hospital","MONROE",1124,26,3045,25,1,312,2275,202,908,350,2594,0,1920,58,468,18,135,5,21,1337,159,0,1,714,410,84,823,217,1790,1477,313,130,130," NY",-77.6256413,43.122593
"325","2010","The Unity Hospital of Rochester","MONROE",454,9,1372,8,1,336,1096,29,396,711,1206,17,917,23,199,3,113,0,1,538,142,0,0,278,176,33,333,88,912,621,291,132,132," NY",-77.7052192,43.1925238
"326","2010","St Marys Hospital at Amsterdam","MONTGOMERY",162,0,482,0,0,16,466,1,56,205,23,0,316,1,78,1,84,1,0,160,40,0,0,85,77,4,124,34,306,232,74,125,125," NY",-74.186919,42.9590091
"327","2010","Winthrop-University Hospital","NASSAU",1975,1,4607,1,0,189,4537,419,402,780,260,46,2605,10,725,0,499,7,76,2155,195,0,1,1260,715,42,1550,364,3159,994,2165,141,141," NY",-73.643129,40.7407591
"328","2010","Mercy Medical Center","NASSAU",619,1,1242,1,0,172,765,153,116,253,135,51,623,5,213,2,218,6,4,431,85,0,1,411,208,18,412,183,856,403,453,65,65," NY",-73.6314088,40.6874502
"329","2010","Plainview Hospital","NASSAU",633,0,1411,0,0,106,1339,183,308,319,295,108,778,17,299,0,256,4,17,634,64,0,0,351,282,5,472,148,990,434,556,97,97," NY",-73.4787902,40.7749323
"330","2010","South Nassau Communities Hospital","NASSAU",859,1,1866,1,0,229,1319,272,275,416,230,45,1007,1,381,2,363,9,17,717,156,0,0,479,380,33,622,200,1271,217,1054,112,112," NY",-73.6304234,40.6518657
"331","2010","Nassau University Medical Center","NASSAU",473,0,1725,0,0,319,1532,424,179,555,545,78,1252,47,246,0,156,40,8,568,216,0,0,274,199,61,319,93,1341,676,665,72,72," NY",-73.5540616,40.7272159
"332","2010","North Shore University Hospital","NASSAU",2475,39,5955,32,7,605,5453,613,1236,1295,2516,0,3480,116,1143,6,804,3,29,2991,195,0,0,1448,1027,81,1452,918,4136,1631,2505,84,84," NY",-73.7012035,40.7754975
"333","2010","Eastern Niagara Hospital - Lockport Division","NIAGARA",211,1,470,1,0,3,464,54,102,99,342,65,259,0,97,0,106,3,6,93,56,0,0,114,97,15,173,22,263,221,42,30,30," NY",-78.6903098,43.1706128
"334","2010","Niagara Falls Memorial Medical Center","NIAGARA",228,0,391,0,0,76,307,35,42,108,104,0,162,3,84,0,49,0,0,77,14,0,1,147,81,48,160,19,192,124,68,81,81," NY",-79.0495359,43.0934707
"335","2010","Mount St Marys Hospital and Health Center","NIAGARA",134,0,381,0,0,32,375,27,69,210,222,0,247,5,70,0,36,0,0,169,35,0,0,69,65,11,100,23,229,206,23,71,71," NY",-79.0330756,43.1537841
"336","2010","Crouse Hospital","ONONDAGA",1422,1,4055,0,1,268,4025,66,1045,825,1771,392,2633,118,753,20,269,3,12,1399,579,0,12,787,635,68,1210,144,2459,1765,694,29,29," NY",-76.138599,43.0414634
"337","2010","Rome Memorial Hospital, Inc","ONEIDA",138,0,617,0,0,16,596,202,160,105,258,402,478,1,65,0,39,0,2,217,139,0,0,74,64,9,106,23,397,347,50,NA,NA,NA,NA,NA
"338","2010","Faxton-St Lukes Healthcare St Lukes Division","ONEIDA",854,2,2149,0,2,267,1996,237,434,369,792,0,1295,15,381,5,327,5,45,750,188,0,2,488,366,48,670,136,1260,874,386,36,36," NY",-75.2766254,43.096879
"339","2010","Community-General Hospital of Greater Syracuse","ONONDAGA",263,3,948,3,0,30,942,337,193,214,533,365,685,2,126,3,54,0,204,236,118,0,0,139,124,14,216,33,665,665,0,25,25," NY",-76.1474244,43.0481221
"340","2010","St Josephs Hospital Health Center","ONONDAGA",670,0,1968,0,0,15,1968,33,483,230,898,176,1297,3,317,3,148,6,0,655,354,0,0,356,314,44,585,41,1330,1251,79,122,122," NY",-75.9689088,41.1438275
"341","2010","Geneva General Hospital","ONTARIO",173,14,568,13,1,112,457,67,106,203,506,0,394,4,74,0,21,0,2,232,50,0,0,103,70,12,142,19,383,338,45,39,39," NY",-76.988942,42.8770578
"342","2010","F F Thompson Hospital","ONTARIO",141,14,621,14,0,57,555,13,188,149,219,13,480,18,75,0,34,0,0,311,102,0,0,84,57,13,76,52,466,447,19,35,35," NY",-77.28973,42.876232
"343","2010","Orange Regional Medical Center-Middletown Campus","ORANGE",541,0,1544,0,0,84,1219,489,153,198,409,42,1002,4,263,2,73,5,28,543,159,1,0,282,259,20,378,102,1294,956,338,92,92," NY",-74.3682079,41.4420519
"344","2010","St Luke's Cornwall Hospital/Newburgh","ORANGE",377,0,1112,0,0,71,1108,4,157,178,554,77,735,31,187,2,126,3,3,418,121,0,0,221,156,16,263,97,746,240,506,123,123," NY",-74.0149005,41.5037064
"345","2010","Oswego Hospital","OSWEGO",202,0,651,0,0,198,592,4,196,153,272,262,449,3,94,0,57,0,1,104,145,0,0,111,91,30,160,12,357,292,65,93,93," NY",-76.5163805,43.4537948
"346","2010","St Anthony Community Hospital","ORANGE",299,1,573,1,0,8,570,179,149,245,10,0,273,1,144,0,78,1,0,207,22,0,0,156,143,6,83,210,470,330,140,115,115," NY",-74.357556,41.2612731
"347","2010","Bon Secours Community Hospital","ORANGE",48,0,171,0,0,8,150,1,20,41,142,0,119,0,22,0,40,0,2,71,29,0,0,26,22,0,38,10,90,81,9,10,10," NY",-74.6818346,41.3676682
"348","2010","Medina Memorial Hospital","ORLEANS",54,0,132,0,0,24,92,22,30,35,65,24,78,1,22,1,10,1,2,21,9,0,0,33,21,2,29,22,64,59,5,62,62," NY",-78.397594,43.223863
"349","2010","Aurelia Osborn Fox Memorial Hospital","OTSEGO",91,0,343,0,0,18,330,16,62,185,196,0,252,0,39,1,61,0,11,62,96,0,0,52,39,15,66,10,239,194,45,6,6," NY",-75.0522916,42.4578897
"350","2010","Putnam Hospital Center","PUTNAM",152,0,438,0,0,45,382,131,105,77,65,108,286,4,78,0,118,0,137,72,36,0,1,78,74,3,141,4,340,232,108,98,98," NY",-73.6631781,41.3835529
"351","2010","Mary Imogene Bassett Hospital","OTSEGO",165,0,808,0,0,138,801,3,162,256,494,590,643,23,102,1,14,1,54,217,142,0,1,86,79,11,127,27,606,568,38,60,60," NY",-74.9235838,42.6956943
"352","2010","Samaritan Hospital","RENSSELAER",189,11,516,11,0,29,510,104,77,117,155,124,327,3,74,3,76,0,9,173,56,0,0,118,71,21,140,25,327,251,76,104,104," NY",-73.6720969,42.7336275
"353","2010","Seton Health System-St Mary's Campus","RENSSELAER",173,0,762,0,0,33,756,7,97,208,216,449,588,24,108,0,34,0,5,224,28,0,0,89,84,9,127,37,529,452,77,108,108," NY",-73.678571,42.7402126
"354","2010","Good Samaritan Hospital of Suffern","ROCKLAND",492,0,2806,0,0,96,2154,176,292,474,120,461,1940,90,295,1,480,1,5,1213,264,0,0,298,194,16,328,145,1866,1361,505,42,42," NY",-74.1339973,41.1114834
"355","2010","Nyack Hospital","ROCKLAND",589,0,1782,0,0,23,1709,95,222,297,357,639,1192,46,341,0,154,2,52,441,331,0,0,294,295,21,473,94,1314,320,994,87,87," NY",-73.9260511,41.0958962
"356","2010","Claxton-Hepburn Medical Center","ST LAWRENCE",171,0,346,0,0,34,337,27,63,21,173,0,175,5,82,0,60,0,14,51,68,0,0,94,77,20,149,2,237,223,14,22,22," NY",-75.4995175,44.6912242
"357","2010","Massena Memorial Hospital","ST LAWRENCE",118,0,306,0,0,12,294,19,72,43,120,25,188,1,62,1,8,2,1,63,37,0,0,57,61,14,95,9,166,146,20,61,61," NY",-74.9090203,44.9361552
"358","2010","Canton-Potsdam Hospital","ST LAWRENCE",133,0,323,0,0,58,313,5,60,51,124,40,190,1,51,0,54,2,0,62,65,0,0,83,50,10,99,24,225,217,8,16,16," NY",-74.9825672,44.6764714
"359","2010","Edward John Noble Hospital of Gouverneur","ST LAWRENCE",39,0,142,0,0,17,128,28,18,60,52,0,101,2,23,0,28,0,7,39,3,0,0,18,21,5,23,11,88,80,8,32,32," NY",-75.462993,44.3367281
"360","2010","Saratoga Hospital","SARATOGA",274,2,788,2,0,51,768,59,79,105,111,117,514,2,128,0,157,0,45,339,65,2,1,148,126,11,200,60,612,517,95,106,106," NY",-73.7976256,43.0862373
"361","2010","Ellis Hospital - Bellevue Woman's Care Center Division","SCHENECTADY",746,18,2546,16,2,46,2539,16,457,498,1649,124,1800,32,318,6,81,0,18,1,201,0,0,460,286,21,662,41,1735,1423,312,33,33," NY",-73.8810494,42.7924655
"362","2010","Schuyler Hospital","SCHUYLER",73,0,189,0,0,7,129,0,43,28,95,77,116,0,27,2,1,0,1,21,48,0,0,46,27,8,59,6,143,129,14,107,107," NY",-76.8595452,42.352171
"363","2010","Southampton Hospital","SUFFOLK",251,0,748,0,0,15,728,32,162,124,167,109,497,5,124,0,112,0,3,245,105,1,0,132,119,1,201,49,629,381,248,113,113," NY",-72.3801804,40.8851774
"364","2010","Corning Hospital","STEUBEN",159,2,427,2,0,32,369,47,106,87,240,0,268,2,67,1,28,0,0,135,33,0,0,94,65,13,109,37,265,227,38,27,27," NY",-77.0546903,42.1428521
"365","2010","St James Mercy Hospital","STEUBEN",115,5,313,5,0,14,280,0,99,80,247,0,197,4,44,1,30,1,0,63,48,0,0,75,40,2,97,16,208,191,17,120,120," NY",-75.9687902,41.1790804
"366","2010","St Charles Hospital","SUFFOLK",895,12,1857,12,0,147,1477,70,224,165,538,81,962,5,428,1,176,0,93,656,107,0,0,472,423,13,694,186,1282,1071,211,118,118," NY",-73.0609201,40.9466502
"367","2010","Huntington Hospital","SUFFOLK",683,12,1560,11,1,94,1486,111,308,428,181,0,877,4,322,0,226,3,7,706,43,1,0,365,318,16,469,190,1281,453,828,46,46," NY",-73.4164165,40.879622
"368","2010","Southside Hospital","SUFFOLK",1084,2,2493,2,0,273,2375,521,423,456,669,0,1408,2,535,1,460,9,14,571,379,0,0,551,533,51,938,85,1870,1580,290,114,114," NY",-73.241274,40.7255982
"369","2010","Good Samaritan Hospital Medical Center","SUFFOLK",1428,10,2816,10,0,0,2779,1314,431,640,2786,0,1385,10,592,6,443,3,50,1149,58,0,0,846,582,74,1056,296,1905,1287,618,41,41," NY",-73.2943189,40.6940832
"370","2010","Peconic Bay Medical Center","SUFFOLK",193,0,439,0,0,14,394,29,28,132,99,0,224,2,72,0,77,2,4,20,80,0,0,123,70,13,173,5,338,124,214,95,95," NY",-72.673446,40.9345059
"371","2010","St Catherine of Siena Hospital","SUFFOLK",729,0,1452,0,0,182,1065,415,401,566,331,0,723,4,327,0,123,3,52,487,132,0,0,406,323,19,359,350,991,665,326,117,117," NY",-73.2231986,40.8683584
"372","2010","Catskill Regional Medical Center","SULLIVAN",192,0,625,0,0,10,615,50,125,122,363,0,433,10,94,2,26,1,1,190,71,0,0,108,84,22,134,36,430,231,199,18,18," NY",-74.7372731,41.7093868
"373","2010","Cayuga Medical Center at Ithaca","TOMPKINS",254,1,793,1,0,35,778,15,153,334,164,275,538,10,114,1,36,0,77,238,120,0,0,150,104,9,188,56,681,577,104,19,19," NY",-76.5380862,42.4688745
"374","2010","Glens Falls Hospital","WARREN",455,3,1355,3,0,295,1335,3,312,784,839,743,900,0,185,2,100,1,203,445,79,0,0,270,185,21,374,59,951,838,113,40,40," NY",-73.6440058,43.3095164
"375","2010","Kingston Hospital","ULSTER",198,2,592,2,0,7,587,43,109,173,197,40,394,16,120,3,69,0,96,0,21,0,0,94,104,0,198,0,409,293,116,50,50," NY",-73.9973608,41.9270367
"376","2010","Newark-Wayne Community Hospital","WAYNE",132,0,375,0,0,40,370,15,55,67,225,92,239,0,66,0,12,1,0,111,43,0,0,66,66,9,105,18,236,193,43,80,80," NY",-77.1020907,43.0605912
"377","2010","White Plains Hospital Center","WESTCHESTER",875,4,2007,3,1,36,1345,90,327,318,73,66,1132,1,399,0,408,2,161,639,200,0,0,477,398,13,747,113,1497,1174,323,140,140," NY",-73.768986,41.0260327
"378","2010","Hudson Valley Hospital Center","WESTCHESTER",250,1,837,0,1,15,662,51,122,135,221,411,587,33,143,0,110,3,14,173,117,0,0,140,110,6,174,47,757,412,345,45,45," NY",-73.892419,41.29265
"379","2010","Sound Shore Medical Center of Westchester","WESTCHESTER",431,2,1050,1,1,201,828,111,200,223,292,0,619,0,192,0,232,11,27,107,175,0,0,239,192,16,366,39,862,362,500,111,111," NY",-73.7878157,40.912599
"380","2010","SJRH - St Johns Division","WESTCHESTER",821,0,1635,0,0,66,1622,166,343,649,757,0,814,2,332,2,315,0,10,317,231,0,0,491,330,10,736,73,894,327,567,110,110," NY",-74.102728,40.8061405
"381","2010","Northern Westchester Hospital","WESTCHESTER",706,0,1624,0,0,15,1608,77,709,327,39,33,918,16,318,0,93,0,27,754,35,0,0,404,302,11,567,128,1334,1147,187,86,86," NY",-74.0056055,41.196535
